,name,id,location,is_economy,media_type,daily_avg_vlm,rank
887,生意社,4,浙江,1.0,1,366.69776119402985,1
1034,zhtg,119,广东,1.0,1,277.6837606837607,1
890,金谷高科,100,北京,0.0,4,250.70531400966183,1
899,金融界,14,北京,1.0,1,165.37201365187713,1
891,挖贝,7,北京,1.0,1，3,147.88214285714287,1
582,界面新闻,230002,上海,1.0,1，4,142.69649805447472,1
978,上证e互动,85,上海,1.0,1，4,117.68253968253968,1
193,中国新闻网,80001,北京,0.0,1，2，3，4,112.30272108843538,1
54,第一财经,31401,上海,1.0,1，2,108.01079136690647,1
952,央视网,29,北京,0.0,1,105.41666666666667,1
892,全球金属网,8,安徽,0.0,1,86.80102040816327,1
1033,智通财经,119,广东,1.0,1,84.48333333333333,1
1007,一财,31401,上海,1.0,1，2,79.8125,1
1015,澎湃,230001,上海,0.0,1，3，4,79.25,1
913,财华社,26,北京,1.0,1,79.06093189964157,1
919,央视,29,北京,0.0,1,78.10283687943263,1
903,中国网,19,北京,0.0,1,77.87372013651877,1
581,澎湃新闻,230001,上海,0.0,1，3，4,72.77586206896552,1
79,新京报,50103,北京,0.0,0，2，3，4,70.22789115646259,1
1014,界面,230002,上海,1.0,1，4,69.5945945945946,1
68,21世纪经济报道,40503,广东,1.0,0，2，3,68.44557823129252,1
902,甲醇网,18,山东,0.0,1,57.076142131979694,1
1001,中国证券监督管理委员会,100,北京,1.0,6,54.666666666666664,1
360,羊城晚报,300101,广东,0.0,0，2,52.13310580204778,1
1002,证监会,100,北京,1.0,6,50.51162790697674,1
896,资本邦,11,上海,1.0,1,47.98863636363637,1
96,北京商报,70700,北京,1.0,0,47.2680412371134,1
196,中新经纬,80004,北京,1.0,4,46.4421768707483,1
54,信息时报,31101,广东,1.0,0，1，2，3,46.2687074829932,1
83,新京报网,50101,北京,0.0,1,43.4421768707483,1
1011,全景,9,北京,0.0,1,42.98245614035088,1
926,阿思达克财经新闻,34,,,1,41.13186813186813,1
917,猪价格网,28,江苏,0.0,1,37.9009900990099,1
279,新民晚报,230300,上海,0.0,0,35.7098976109215,1
933,财经网,41,广东,1.0,1,34.590106007067135,1
1028,财汇资讯,113,上海,1.0,1,33.37560975609756,1
893,中国粮油商务网,101,北京,0.0,1,31.907692307692308,1
910,中金网,24,上海,1.0,1,31.7,1
905,汇通网,21,上海,1.0,1,27.213793103448275,1
719,江西日报,104680,江西,0.0,0,26.241496598639454,1
925,瑞达期货,33,福建,1.0,5,24.77889447236181,1
900,FX168,16,,,1,24.731292517006803,1
65,南方都市报,40202,广东,0.0,0，2，3，4,23.501706484641637,1
943,和讯网,53,北京,1.0,1,23.13478260869565,1
278,文汇报(上海),230203,上海,0.0,0，3,22.58361774744027,1
361,新快报,300202,广东,0.0,0，2，3，4,22.517006802721088,1
745,北京青年报,100570,北京,0.0,0,22.435374149659864,1
908,上交所,23,上海,1.0,6,20.099290780141843,1
948,财富动力网,59,广东,1.0,1,19.669322709163346,1
1012,和讯,53,北京,1.0,1,19.275862068965516,1
45,番禺日报,30200,广东,0.0,0,18.76896551724138,1
897,乐居,12,北京,0.0,4,18.467391304347824,1
1029,财联社,114,上海,1.0,4,18.20136518771331,1
901,TechWeb,17,北京,0.0,1，3,17.429065743944637,1
368,深圳商报,310201,广东,1.0,0，3,17.386281588447652,1
973,36氪,82,北京,1.0,1，3，4,17.097560975609756,1
732,广西日报,103750,广西,0.0,0,17.02928870292887,1
281,报刊文摘,230400,,,0,16.78723404255319,1
57,第一财经日报,31402,上海,1.0,0，3,16.219101123595507,1
503,武汉晚报,450301,湖北,0.0,0，3,16.21153846153846,1
283,新闻晨报,230603,上海,0.0,0，2，3,16.04778156996587,1
1009,中央纪委,101,北京,0.0,6,15.712328767123287,1
931,国信期货,39,上海,1.0,5,15.604166666666666,1
928,中国经营网,36,北京,1.0,1,15.520833333333334,1
671,光明网,280001,北京,0.0,1,15.366037735849057,1
993,银保监会,99,北京,1.0,6,15.248587570621469,1
412,金融投资报,340702,四川,1.0,0，2，3,14.598360655737705,1
231,浙江新闻,90014,浙江,0.0,4,14.475524475524475,1
708,经济观察报,101170,北京,1.0,0,14.15,1
950,城市金融报,61,陕西,1.0,0，3,13.819148936170214,1
220,山西经济日报,170500,山西,1.0,0,13.761904761904763,1
285,钱江晚报,91705,浙江,0.0,0，2，3,13.341637010676157,1
916,时代周报,400,广东,1.0,0，1,13.284172661870503,1
142,期货日报,100703,河南,1.0,0，2,13.273356401384083,1
218,山西农民报,170300,山西,0.0,0,13.15,1
932,天天基金网,40,上海,1.0,1,12.728033472803347,1
920,大越期货,30,,,5,12.54945054945055,1
914,中商产业研究院,27,广东,0.0,1,12.512931034482758,1
630,信息日报,102890,江西,0.0,0,12.136363636363637,1
955,发布易,65,,1.0,4,11.840637450199203,1
930,蓝鲸财经,38,上海,1.0,1,11.617328519855596,1
716,信网,330603,山东,0.0,1，2，3,10.94306049822064,1
945,中国商务新闻网,56,,,1,10.923766816143498,1
417,重庆商报,350402,重庆,1.0,0，2，3,10.723880597014926,1
898,兰格钢铁网,13,北京,0.0,1,10.321739130434782,1
929,观察者网,37,上海,0.0,1,10.168384879725085,1
947,中国粮油信息网,58,黑龙江,0.0,1,10.11063829787234,1
751,上游新闻,350001,重庆,0.0,1，4,9.944444444444445,1
983,巨丰财经,90,陕西,1.0,1，3,9.855072463768115,1
722,江南都市报,104660,江西,0.0,0,9.707762557077626,1
346,中国县域经济报,290202,,,0，2,9.575757575757576,1
1003,深交所,88,广东,0.0,6,9.330827067669173,1
958,华泰证券,68,江苏,1.0,5,9.093117408906883,1
535,南都,40202,,,0，2，3，4,9.0,1
992,中国银行保险监督管理委员会,99,北京,1.0,6,9.0,1
702,昆明日报,104330,云南,0.0,0,8.874251497005988,1
398,经济导报,330901,山东,1.0,0，2，4,8.751243781094526,1
508,大众证券报,460402,江苏,1.0,0，2，3,8.692592592592593,1
685,金羊网,300001,广东,0.0,1,8.684027777777779,1
